[Parameters]
Operating Mode, Non-Feedback
0.036,0.034,0.273,-5.337
0.069,0.038,0.274,-5.337
0.074,0.038,0.277,-5.337
0.111,0.036,0.282,-5.337
0.052,0.035,0.287,-5.337
-0.014,0.037,0.285,-5.337
0.086,0.036,0.279,-5.337
0.143,0.039,0.274,-5.337
0.084,0.037,0.275,-5.337
0.087,0.035,0.275,-5.337
0.127,0.035,0.274,-5.337
0.168,0.036,0.276,-5.337
0.129,0.039,0.282,-5.337
0.116,0.035,0.284,-5.337
0.123,0.035,0.281,-5.337
0.054,0.037,0.278,-5.337
-0.013,0.038,0.278,-5.337
-0.011,0.039,0.279,-5.337
0.011,0.038,0.278,-5.337
0.058,0.038,0.277,-5.337
0.103,0.039,0.276,-5.337
0.096,0.038,0.273,-5.337
0.013,0.042,0.273,-5.337
-0.036,0.044,0.274,-5.337
0.032,0.041,0.279,-5.337
0.139,0.033,0.282,-5.337
0.138,0.035,0.282,-5.337
0.039,0.039,0.281,-5.337
0.050,0.038,0.277,-5.337
0.089,0.039,0.279,-5.337
0.087,0.036,0.278,-5.337
0.062,0.038,0.279,-5.337
0.099,0.038,0.278,-5.337
0.136,0.038,0.281,-5.337
0.180,0.035,0.281,-5.337
0.147,0.040,0.280,-5.337
0.093,0.039,0.276,-5.337
0.144,0.038,0.274,-5.337
0.065,0.043,0.274,-5.337
0.005,0.043,0.274,-5.337
0.031,0.042,0.274,-5.337
0.062,0.044,0.276,-5.337
0.016,0.043,0.283,-5.337
-0.033,0.042,0.286,-5.337
-0.075,0.044,0.285,-5.337
